timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610551744434,1053,-12,200,OK,jp@gc - Ultimate Thread Group 1-100,text,true,,1456,338,8,8,https://blazedemo.com/,1053,0,537
1610551744780,707,-12,200,OK,jp@gc - Ultimate Thread Group 1-97,text,true,,1320,338,8,8,https://blazedemo.com/,704,0,188
1610551744462,1027,-12,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1483,338,8,8,https://blazedemo.com/,1023,0,505
1610551744904,587,-12,200,OK,jp@gc - Ultimate Thread Group 1-96,text,true,,1419,338,8,8,https://blazedemo.com/,587,0,173
1610551745493,745,-13,200,OK,jp@gc - Ultimate Thread Group 1-97,text,true,,1408,517,13,13,https://blazedemo.com/reserve.php,745,0,0
1610551745492,746,-13,200,OK,jp@gc - Ultimate Thread Group 1-96,text,true,,1588,517,13,13,https://blazedemo.com/reserve.php,746,0,0
1610551745492,752,-13,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1467,517,13,13,https://blazedemo.com/reserve.php,752,0,0
1610551745054,1202,-12,200,OK,jp@gc - Ultimate Thread Group 1-95,text,true,,1540,338,13,13,https://blazedemo.com/,1201,0,424
1610551745494,765,-13,200,OK,jp@gc - Ultimate Thread Group 1-100,text,true,,1466,517,13,13,https://blazedemo.com/reserve.php,764,0,0
1610551745203,1166,-12,200,OK,jp@gc - Ultimate Thread Group 1-94,text,true,,1401,338,14,14,https://blazedemo.com/,1166,0,340
1610551744605,1769,-12,200,OK,jp@gc - Ultimate Thread Group 1-98,text,true,,1522,338,14,14,https://blazedemo.com/,1768,0,359
1610551746239,530,-14,200,OK,jp@gc - Ultimate Thread Group 1-97,text,true,,1645,575,17,17,https://blazedemo.com/purchase.php,530,0,0
1610551746256,513,-13,200,OK,jp@gc - Ultimate Thread Group 1-95,text,true,,1430,517,17,17,https://blazedemo.com/reserve.php,513,0,0
1610551746245,527,-14,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1782,575,17,17,https://blazedemo.com/purchase.php,526,0,0
1610551746370,437,-13,200,OK,jp@gc - Ultimate Thread Group 1-94,text,true,,1504,517,17,17,https://blazedemo.com/reserve.php,437,0,0
1610551746239,568,-14,200,OK,jp@gc - Ultimate Thread Group 1-96,text,true,,1690,575,17,17,https://blazedemo.com/purchase.php,568,0,0
1610551746259,548,-14,200,OK,jp@gc - Ultimate Thread Group 1-100,text,true,,1759,575,17,17,https://blazedemo.com/purchase.php,548,0,0
1610551745503,1309,-12,200,OK,jp@gc - Ultimate Thread Group 1-92,text,true,,1395,338,17,17,https://blazedemo.com/,1308,0,757
1610551745653,1159,-12,200,OK,jp@gc - Ultimate Thread Group 1-91,text,true,,1470,338,17,17,https://blazedemo.com/,1159,0,790
1610551745803,1009,-12,200,OK,jp@gc - Ultimate Thread Group 1-90,text,true,,1524,338,17,17,https://blazedemo.com/,1009,0,642
1610551746374,440,-13,200,OK,jp@gc - Ultimate Thread Group 1-98,text,true,,1603,517,17,17,https://blazedemo.com/reserve.php,440,0,0
1610551746102,713,-12,200,OK,jp@gc - Ultimate Thread Group 1-88,text,true,,1439,338,17,17,https://blazedemo.com/,713,0,354
1610551746265,552,-12,200,OK,jp@gc - Ultimate Thread Group 1-87,text,true,,1523,338,17,17,https://blazedemo.com/,551,0,235
1610551745953,886,-12,200,OK,jp@gc - Ultimate Thread Group 1-89,text,true,,1317,338,17,17,https://blazedemo.com/,882,0,504
1610551746403,445,-12,200,OK,jp@gc - Ultimate Thread Group 1-86,text,true,,1349,338,17,17,https://blazedemo.com/,444,0,129
1610551746807,290,-15,200,OK,jp@gc - Ultimate Thread Group 1-96,text,true,,1642,633,19,19,https://blazedemo.com/confirmation.php,289,0,0
1610551744903,2191,,200,"Number of samples in transaction : 4, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-96,,true,,6339,2063,19,19,null,2190,3,173
1610551746818,288,-14,200,OK,jp@gc - Ultimate Thread Group 1-98,text,true,,1736,575,19,19,https://blazedemo.com/purchase.php,286,0,0
